sim_scenario,num_reps,pop_size_1,pop_size_2,mig_rate_1,mig_rate_2,prop_sampled,err_var,err_diag,miss_var,miss_diag
WF_simple,10,1000,1000,0,0,1,0.01,0.004,0,0
WF_simple,10,1000,1000,0.005,0.005,1,0.01,0.004,0,0
WF_simple,10,1000,1000,0.025,0.025,1,0.01,0.004,0,0
WF_simple,10,1000,1000,0.05,0.05,1,0.01,0.004,0,0
WF_simple,10,1000,1000,0,0,0.75,0.01,0.004,0,0
WF_simple,10,1000,1000,0.005,0.005,0.75,0.01,0.004,0,0
WF_simple,10,1000,1000,0.025,0.025,0.75,0.01,0.004,0,0
WF_simple,10,1000,1000,0.05,0.05,0.75,0.01,0.004,0,0
WF_simple,10,1000,1000,0,0,0.5,0.01,0.004,0,0
WF_simple,10,1000,1000,0.005,0.005,0.5,0.01,0.004,0,0
WF_simple,10,1000,1000,0.025,0.025,0.5,0.01,0.004,0,0
WF_simple,10,1000,1000,0.05,0.05,0.5,0.01,0.004,0,0
WF_simple,10,1000,1000,0,0,1,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.005,0.005,1,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.025,0.025,1,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.05,0.05,1,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0,0,0.75,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.005,0.005,0.75,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.025,0.025,0.75,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.05,0.05,0.75,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0,0,0.5,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.005,0.005,0.5,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.025,0.025,0.5,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0.05,0.05,0.5,0.01,0.004,0.15,0.15
WF_simple,10,1000,1000,0,0,1,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.005,0.005,1,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.025,0.025,1,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.05,0.05,1,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0,0,0.75,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.005,0.005,0.75,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.025,0.025,0.75,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.05,0.05,0.75,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0,0,0.5,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.005,0.005,0.5,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.025,0.025,0.5,0.01,0.004,0.35,0.35
WF_simple,10,1000,1000,0.05,0.05,0.5,0.01,0.004,0.35,0.35
nonWF_simple,10,1000,1000,0,0,1,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.005,0.005,1,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.025,0.025,1,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.05,0.05,1,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0,0,0.75,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.005,0.005,0.75,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.025,0.025,0.75,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.05,0.05,0.75,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0,0,0.5,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.005,0.005,0.5,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.025,0.025,0.5,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0.05,0.05,0.5,0.01,0.004,0,0
nonWF_simple,10,1000,1000,0,0,1,0.01,0.004,0.15,0.15
nonWF_simple,10,1000,1000,0.005,0.005,1,0.01,0.004,0.15,0.15
nonWF_simple,10,1000,1000,0.025,0.025,1,0.01,0.004,0.15,0.15
